카테고리,상품명,가격,상품,상세,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(mg),콜레스테롤(mg),나트륨(mg),칼슘(g),,,,,,,,,
시리얼/바,퀘이커 그래놀라 믹스업 딸기맛 350g,6300,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 그래놀라 믹스업 딸기맛 350g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 그래놀라 믹스업 딸기맛 350g_상세.png,215,35,15,5.5,6,2.7,0,5,85,0,,,,,,,,,
시리얼/바,퀘이커 클래식오트 350g 2개입,13960,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 클래식오트 350g 2개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 클래식오트 350g 2개입_상세.png,321,60,3,11,7,1.2,0,0,0,0,,,,,,,,,
시리얼/바,퀘이커 마시는오트밀 80g 7개입,19460,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 80g 7개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/퀘이커 마시는오트밀 80g 7개입_상세.png,335,31,8.4,28,11,3.2,0,10,490,0,,,,,,,,,
초콜릿,롯데 가나 생쇼콜라 140g,19900,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 가나 생쇼콜라 140g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 가나 생쇼콜라 140g_상세.png,655,64,54,9.6,40,27,0.5,35,110,0,,,,,,,,,
초콜릿,롯데 허쉬 레귤러바 쿠키앤초코 40g,1280,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 허쉬 레귤러바 쿠키앤초코 40g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 허쉬 레귤러바 쿠키앤초코 40g_상세.png,220,24,20,4,10,6,0,5,55,0,,,,,,,,,
초콜릿,롯데 레귤러바 쿠키앤크림 40g,1280,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 레귤러바 쿠키앤크림 40g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 레귤러바 쿠키앤크림 40g_상세.png,210,26,19,2,11,6,0,1.6,55,0,,,,,,,,,
초콜릿,롯데 ABC 초코 72g,1750,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 ABC 초코 72g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 ABC 초코 72g_상세.png,405,40,40,5,25,18,0.5,10,50,0,,,,,,,,,
초콜릿,롯데 가나 랑드샤 글레이즈드 91g,2400,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 가나 랑드샤 글레이즈드 91g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 가나 랑드샤 글레이즈드 91g_상세.png,500,51,31,6.1,30,18,0.5,15,240,0,,,,,,,,,
초콜릿,롯데 허쉬 라지바 쿠앤크 100g,2380,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 허쉬 라지바 쿠앤크 100g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 허쉬 라지바 쿠앤크 100g_상세.png,530,63,48,6,28,16,0.6,10,130,0,,,,,,,,,
박스과자,롯데 빈츠 102g,2240,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빈츠 102g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빈츠 102g_상세.png,45,5,3,1,2.2,1.3,0.2,2,15,0,,,,,,,,,
박스과자,롯데 ABC 초코쿠키 쿠키앤크림 43g,960,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 ABC 초코쿠키 쿠키앤크림 43g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 ABC 초코쿠키 쿠키앤크림 43g_상세.png,235,26,15,3,13,7,0,10,120,0,,,,,,,,,
초콜릿,롯데 석기시대 90g,2880,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 석기시대 90g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 석기시대 90g_상세.png,175,22,22,2,9,6,0,5,15,0,,,,,,,,,
박스과자,롯데 ABC 초코쿠키 쿠키앤크림 130g,2880,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 ABC 초코쿠키 쿠키앤크림 130g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 ABC 초코쿠키 쿠키앤크림 130g_상세.png,175,19,11,2,10,5,0,5,90,0,,,,,,,,,
박스과자,롯데 크런키그래놀라 빼빼로 39g,1260,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 크런키그래놀라 빼빼로 39g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 크런키그래놀라 빼빼로 39g_상세.png,200,25,12,3,10,6,0,5,0,0,,,,,,,,,
박스과자,롯데 빼빼로 꼬깔콘 35g,1360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 꼬깔콘 35g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 빼빼로 꼬깔콘 35g_상세.png,180,22,15,3,9,5,0,5,140,0,,,,,,,,,
